"name","city","state","zip"
"Blooms By The Bay","Fairhope","AL","36532"
"House of Flowers","Dothan","AL","36305"
"Central Market","Anchorage","AK","99503"
"Ellen's Flowers Gifts","Fayette","AL","35555"
"Lolita's Flowers Gifts","Enterprise","AL","36330"
"Decatur Nursery Florist","Decatur","AL","35601"
"Petals Flowers Gifts","Gordo","AL","35466"
"Faye's Florist","Georgiana","AL","36033"
"McKenzie Florist","Foley","AL","36535"
"Friendly Flower Shoppe","Florence","AL","35630"
"Flowers More","Cullman","AL","35055"
"In Full Bloom, Inc.","Gardendale","AL","35071"
"Hope Flowers","Dothan","AL","36305"
"Chell's Florist More","Geneva","AL","36340"
"Blooms On Broad","Gadsden","AL","35901"
"Lana's Flowers","Eufaula","AL","36027"
"Jubilee Flowers","Fairhope","AL","36532"
"Joy's Jungle Florist Gifts","Grant","AL","35747"
"G's Flower Gift Shop","Greensboro","AL","36744"
"Park Lane Flowers","Birmingham","AL","35212"
"Angel Wings Flowers","Fayette","AL","35555"
"Speaking Roses of Alaska","Anchorage","AK","99508"
"Triangle Flowers Gift","Enterprise","AL","36330"
"Fleur De Lis Flowers Gifts","Foley","AL","36535"
"Buddy's Florist","Graysville","AL","35073"
"Ginger Lily","Greenville","AL","36037"
"Marvelous Expressions By Lai","Decatur","AL","35601"
"Flowers by Linda","Haleyville","AL","35565"
"Friendly Flower Shoppe","Florence","AL","35630"
"Hackleburg Flower Shop","Hackleburg","AL","35564"
"Flowers Hospital","Geneva","AL","36340"
"Flowers by Chanda","Anchorage","AK","99518"
"Flowers More","Cullman","AL","35058"
"Cottage Garden Flowers Gifts","Hamilton","AL","35570"
"Gale's Flower House","Eufaula","AL","36027"
"Blooms of Broad","Gadsden","AL","35901"
"Adana Florists Decor","Dothan","AL","36303"
"Hanceville Florist and Gifts","Hanceville","AL","35077"
"Florabella's Flowers Gifts","Greensboro","AL","36744"
"Camellia City Florist","Greenville","AL","36037"
"Evans Florist","Hartselle","AL","35640"
"Greenhouse","Birmingham","AL","35209"
"Adana Flowers Gifts","Hartford","AL","36344"
"Flowers and Gifts","Haleyville","AL","35565"
"Seaside Florist","Foley","AL","36535"
"Graysville Florist and Gifts","Graysville","AL","35073"
"Rodney's Flower Shop","Guntersville","AL","35976"
"Flowers Robert L Jr","Harvest","AL","35749"
"Something Ele'gant Florals","Florence","AL","35633"
"Geneva Florist Gift Shop","Geneva","AL","36340"
"A R Flower Gift","Hayden","AL","35079"
"Wild Flower Florals Gifts","Heflin","AL","36264"
"Rococo Floral Studio","Gadsden","AL","35901"
"Hamilton Flowers","Hamilton","AL","35570"
"Harts and Flowers","Dothan","AL","36301"
"Diann's Florist","Headland","AL","36345"
